,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,mike-barber,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,jp-butler,jason-butt,christian-caple,jerry-carino,david-cloninger,richard-croome,chris-dachille,seth-davis,doug-doughty,john-feinstein,justin-ferguson,clay-fowler,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,cecil-hurt,joe-juliano,hugh-kellenberger,paul-klee,joe-leadingham,andrew-lopez,kevin-lyttle,scott-mansch,matt-mccoy,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,mandy-mitchell,chris-murray,patrick-murray,jon-nyatawa,dana-oneil,zach-osterman,tod-palmer,tony-parks,soren-petro,krista-pirtle,bj-rains,scott-richey,jon-rothstein,shannon-ryan,stephen-schramm,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,jon-wilner,steve-wiseman,scott-wolf,mark-berman,craig-handel,graham-couch
94,381,1117,H,florida,73,-1400,0.9333333333333333,2,W,38,,,,,,17.0,,,,,,,,,,,,,,,,,21.0,,,,20.0,,22.0,21.0,,,,,,,,21.0,,,,,,,25.0,,23.0,,,,,,,,,,,,,,,,,,
61,246,1114,V,san-diego-state,48,500,0.16666666666666666,2,L,54,,,,,,20.0,21.0,,,,,,,,,,,,,,,25.0,,25.0,,,,,,25.0,,,,23.0,,,22.0,24.0,,,25.0,,,,22.0,,,,,,,,,,,,,,21.0,21.0,,,20.0,,16.0
83,335,1115,H,florida-state,99,-1400,0.9333333333333333,2,W,95,,,,,24.0,,,,,,,,21.0,,21.0,20.0,,,,24.0,,,24.0,24.0,,,,21.0,,,,,,,23.0,,18.0,,,,21.0,,,24.0,,23.0,,,21.0,,20.0,,21.0,20.0,,,,15.0,24.0,23.0,25.0,,,20.0,
140,587,1120,H,florida-state,100,-9000,0.989010989010989,2,W,95,,,,,24.0,,,,,,,,21.0,,21.0,20.0,,,,24.0,,,24.0,24.0,,,,21.0,,,,,,,23.0,,18.0,,,,21.0,,,24.0,,23.0,,,21.0,,20.0,,21.0,20.0,,,,15.0,24.0,23.0,25.0,,,20.0,
73,292,1115,V,maryland,76,270,0.2702702702702703,2,W,100,,,21.0,,,,24.0,23.0,24.0,23.0,23.0,24.0,,21.0,25.0,25.0,,,,,,,,,,21.0,,,,,24.0,,,,19.0,25.0,,,25.0,19.0,17.0,,,25.0,16.0,22.0,,,23.0,22.0,,,,,16.0,,25.0,,,18.0,,,,,
143,593,1120,H,maryland,71,-1100,0.9166666666666666,2,W,100,,,21.0,,,,24.0,23.0,24.0,23.0,23.0,24.0,,21.0,25.0,25.0,,,,,,,,,,21.0,,,,,24.0,,,,19.0,25.0,,,25.0,19.0,17.0,,,25.0,16.0,22.0,,,23.0,22.0,,,,,16.0,,25.0,,,18.0,,,,,
70,288,1115,V,dayton,77,100,0.5,2,W,102,,,,,25.0,,,24.0,,,24.0,25.0,,17.0,,,20.0,,19.0,25.0,,21.0,,,,,23.0,,,,,21.0,19.0,,24.0,,21.0,,,,,,20.0,,,,,,,,22.0,20.0,,24.0,25.0,,,,,20.0,,,14.0,21.0,22.0
133,519,1119,H,dayton,57,125,0.4444444444444444,2,L,102,,,,,25.0,,,24.0,,,24.0,25.0,,17.0,,,20.0,,19.0,25.0,,21.0,,,,,23.0,,,,,21.0,19.0,,24.0,,21.0,,,,,,20.0,,,,,,,,22.0,20.0,,24.0,25.0,,,,,20.0,,,14.0,21.0,22.0
91,363,1116,H,california,75,-2000,0.9523809523809523,2,W,109,,,22.0,23.0,,,,,,,,,,19.0,,,21.0,23.0,22.0,,24.0,,,,24.0,,21.0,,,20.0,,,,,,,,,20.0,22.0,,22.0,25.0,,23.0,24.0,21.0,,,,18.0,24.0,,,,25.0,21.0,10.0,,,,,,,15.0
65,279,1114,H,cincinnati,74,-2500,0.9615384615384616,2,W,120,25.0,21.0,,,15.0,21.0,25.0,25.0,20.0,25.0,,,19.0,,24.0,,,,,23.0,25.0,15.0,23.0,,,24.0,,22.0,,,,,20.0,25.0,,,25.0,,,,,,22.0,,,,,,25.0,25.0,,19.0,23.0,22.0,24.0,24.0,,,25.0,,19.0,22.0,19.0,,21.0
136,538,1119,N,cincinnati,71,-130,0.5652173913043478,2,L,120,25.0,21.0,,,15.0,21.0,25.0,25.0,20.0,25.0,,,19.0,,24.0,,,,,23.0,25.0,15.0,23.0,,,24.0,,22.0,,,,,20.0,25.0,,,25.0,,,,,,22.0,,,,,,25.0,25.0,,19.0,23.0,22.0,24.0,24.0,,,25.0,,19.0,22.0,19.0,,21.0
