,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,tyson-alger,jim-benson,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,christian-caple,jerry-carino,andrew-carter,chris-dachille,kieran-darcy,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,ben-frederickson,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,brian-howell,cecil-hurt,marcus-jackson,joey-johnston,joe-juliano,tom-keegan,bill-knight,chris-lang,kevin-lyttle,fletcher-mackel,scott-mansch,brandon-marcello,matt-mccoy,john-mcnamara,kevin-mcnamara,ron-morris,chris-murray,zach-osterman,soren-petro,steve-pivovar,bj-rains,joe-rexrode,randy-rosetta,daniel-shirley,jason-smith,bret-strelow,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,john-werner,tj-werre,gary-williams,jon-wilner,steve-wiseman,scott-wolf,paul-zeise
144,496,1121,N,lsu,61,-135,0.574468085106383,2,L,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,
171,581,1122,N,lsu,72,-320,0.7619047619047619,2,W,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,
196,697,1123,H,cincinnati,54,-3500,0.9722222222222222,2,W,5,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,321,1118,H,florida-state,73,-530,0.8412698412698413,2,L,6,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,
133,461,1121,H,oklahoma-state,82,-2150,0.9555555555555556,2,W,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
169,573,1122,N,florida-state,54,-125,0.5555555555555556,2,L,6,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,
185,652,1123,N,florida-state,69,110,0.47619047619047616,2,L,6,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,
116,415,1120,N,dayton,55,-105,0.5121951219512195,2,W,7,,,,,,,23.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,478,1121,N,dayton,64,170,0.37037037037037035,2,L,7,,,,,,,23.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,649,1123,N,dayton,65,-225,0.6923076923076923,2,W,7,,,,,,,23.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
