,index,Date,VH,Team,Final,ML,Probability,Week,Result,Aggregate,elton-alexander,kayla-anderson,john-bednarowski,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,tom-bragg,lauren-brownlow,jeff-call,jerry-carino,david-cloninger,mark-cooper,graham-couch,james-crepea,richard-croome,seth-davis,luke-decock,donna-ditota,john-feinstein,marcus-fuller,scott-gleeson,geoff-grammer,steve-hewitt,drew-hill,brian-holland,bob-holt,cecil-hurt,terry-hutchens,joe-juliano,paul-klee,joey-knight,theo-lawson,scott-mansch,dave-matter,matt-mccoy,brian-mcinnis,kevin-mcnamara,craig-meyer,sheldon-mickles,chris-murray,jesse-newell,thuc-nhi-nguyen,jon-nyatawa,zach-osterman,bruce-pascoe,dave-preston,bj-rains,scott-richey,jon-rothstein,shannon-ryan,carlos-silva,damien-sordelett,ben-steele,edgar-thompson,terry-toohey,dick-vitale,josh-vitale,ken-weinman,john-werner,tj-werre,brant-wilkerson,jon-wilner,scott-wolf,norm-wood
85,329,1109,H,virginia-tech,87,-4250,0.9770114942528736,1,W,630,,23.0,21.0,13.0,15.0,22.0,12.0,16.0,15.0,12.0,20.0,12.0,14.0,13.0,18.0,13.0,21.0,19.0,17.0,22.0,17.0,15.0,14.0,12.0,14.0,14.0,15.0,12.0,13.0,20.0,15.0,14.0,15.0,14.0,17.0,,20.0,,11.0,13.0,13.0,17.0,14.0,20.0,15.0,14.0,22.0,16.0,13.0,10.0,19.0,20.0,14.0,15.0,16.0,16.0,16.0,14.0,,15.0,13.0,,8.0,13.0,14.0
29,89,1106,H,oregon,84,-5500,0.9821428571428571,1,W,638,13.0,24.0,13.0,19.0,12.0,15.0,16.0,15.0,20.0,14.0,16.0,17.0,17.0,18.0,8.0,15.0,16.0,13.0,16.0,11.0,14.0,14.0,16.0,19.0,16.0,24.0,14.0,17.0,16.0,12.0,21.0,17.0,,19.0,18.0,12.0,19.0,13.0,13.0,16.0,22.0,21.0,17.0,,17.0,13.0,19.0,14.0,15.0,18.0,14.0,13.0,17.0,13.0,14.0,13.0,13.0,16.0,22.0,22.0,16.0,10.0,16.0,15.0,12.0
82,303,1109,H,oregon,81,-6000,0.9836065573770492,1,W,638,13.0,24.0,13.0,19.0,12.0,15.0,16.0,15.0,20.0,14.0,16.0,17.0,17.0,18.0,8.0,15.0,16.0,13.0,16.0,11.0,14.0,14.0,16.0,19.0,16.0,24.0,14.0,17.0,16.0,12.0,21.0,17.0,,19.0,18.0,12.0,19.0,13.0,13.0,16.0,22.0,21.0,17.0,,17.0,13.0,19.0,14.0,15.0,18.0,14.0,13.0,17.0,13.0,14.0,13.0,13.0,16.0,22.0,22.0,16.0,10.0,16.0,15.0,12.0
72,261,1109,H,west-virginia,94,-650,0.8666666666666667,1,L,678,12.0,14.0,15.0,18.0,16.0,17.0,14.0,13.0,19.0,15.0,17.0,13.0,13.0,15.0,16.0,14.0,13.0,8.0,23.0,23.0,13.0,20.0,17.0,15.0,15.0,13.0,12.0,8.0,15.0,16.0,18.0,15.0,16.0,11.0,13.0,13.0,22.0,23.0,16.0,18.0,15.0,7.0,16.0,17.0,16.0,16.0,11.0,15.0,17.0,19.0,16.0,16.0,15.0,17.0,15.0,18.0,19.0,15.0,21.0,13.0,15.0,15.0,,12.0,13.0
88,347,1109,H,kansas-state,56,-33000,0.9969788519637462,1,W,922,11.0,10.0,11.0,8.0,11.0,7.0,10.0,14.0,12.0,13.0,11.0,11.0,12.0,10.0,12.0,12.0,19.0,15.0,11.0,21.0,12.0,11.0,13.0,10.0,12.0,11.0,11.0,16.0,12.0,14.0,10.0,12.0,13.0,10.0,14.0,11.0,12.0,9.0,15.0,12.0,10.0,13.0,11.0,14.0,12.0,12.0,9.0,10.0,11.0,13.0,11.0,11.0,11.0,9.0,11.0,11.0,11.0,11.0,9.0,8.0,11.0,14.0,15.0,14.0,15.0
5,17,1106,H,auburn,101,-3500,0.9722222222222222,1,W,974,19.0,8.0,17.0,16.0,9.0,10.0,15.0,11.0,10.0,11.0,12.0,9.0,11.0,12.0,10.0,9.0,10.0,12.0,9.0,14.0,8.0,8.0,9.0,9.0,11.0,15.0,10.0,10.0,11.0,8.0,12.0,10.0,9.0,13.0,8.0,10.0,11.0,10.0,10.0,11.0,11.0,15.0,10.0,13.0,11.0,10.0,16.0,11.0,10.0,4.0,10.0,12.0,10.0,11.0,12.0,12.0,15.0,9.0,11.0,14.0,10.0,9.0,13.0,10.0,10.0
73,265,1109,H,auburn,88,-600,0.8571428571428571,1,W,974,19.0,8.0,17.0,16.0,9.0,10.0,15.0,11.0,10.0,11.0,12.0,9.0,11.0,12.0,10.0,9.0,10.0,12.0,9.0,14.0,8.0,8.0,9.0,9.0,11.0,15.0,10.0,10.0,11.0,8.0,12.0,10.0,9.0,13.0,8.0,10.0,11.0,10.0,10.0,11.0,11.0,15.0,10.0,13.0,11.0,10.0,16.0,11.0,10.0,4.0,10.0,12.0,10.0,11.0,12.0,12.0,15.0,9.0,11.0,14.0,10.0,9.0,13.0,10.0,10.0
14,42,1106,N,michigan-state,87,180,0.35714285714285715,1,L,1024,6.0,11.0,5.0,12.0,10.0,11.0,9.0,10.0,18.0,10.0,9.0,10.0,10.0,9.0,13.0,10.0,9.0,11.0,13.0,7.0,11.0,10.0,10.0,11.0,10.0,7.0,9.0,13.0,9.0,10.0,8.0,11.0,12.0,7.0,11.0,5.0,9.0,8.0,12.0,10.0,12.0,11.0,12.0,7.0,10.0,11.0,15.0,12.0,12.0,9.0,12.0,10.0,12.0,10.0,10.0,10.0,6.0,13.0,10.0,12.0,12.0,11.0,11.0,9.0,11.0
131,525,1111,H,michigan-state,106,-5500,0.9821428571428571,1,W,1024,6.0,11.0,5.0,12.0,10.0,11.0,9.0,10.0,18.0,10.0,9.0,10.0,10.0,9.0,13.0,10.0,9.0,11.0,13.0,7.0,11.0,10.0,10.0,11.0,10.0,7.0,9.0,13.0,9.0,10.0,8.0,11.0,12.0,7.0,11.0,5.0,9.0,8.0,12.0,10.0,12.0,11.0,12.0,7.0,10.0,11.0,15.0,12.0,12.0,9.0,12.0,10.0,12.0,10.0,10.0,10.0,6.0,13.0,10.0,12.0,12.0,11.0,11.0,9.0,11.0
35,125,1106,H,villanova,100,-87000,0.9988518943742825,1,W,1085,1.0,12.0,9.0,11.0,14.0,13.0,11.0,9.0,8.0,4.0,10.0,14.0,7.0,8.0,4.0,11.0,8.0,9.0,10.0,9.0,10.0,12.0,11.0,13.0,7.0,10.0,16.0,6.0,8.0,9.0,11.0,9.0,10.0,6.0,7.0,15.0,5.0,15.0,8.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,12.0,9.0,4.0,8.0,12.0,8.0,9.0,10.0,10.0,12.0,9.0,9.0,13.0,9.0,7.0,7.0
