,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mike-barber,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,jp-butler,jason-butt,christian-caple,jerry-carino,david-cloninger,richard-croome,chris-dachille,seth-davis,doug-doughty,john-feinstein,justin-ferguson,clay-fowler,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,doug-haller,kelly-hines,bob-holt,cecil-hurt,joe-juliano,hugh-kellenberger,paul-klee,joe-leadingham,andrew-lopez,kevin-lyttle,scott-mansch,matt-mccoy,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,mandy-mitchell,chris-murray,patrick-murray,jon-nyatawa,dana-oneil,zach-osterman,tod-palmer,tony-parks,soren-petro,krista-pirtle,bj-rains,scott-richey,jon-rothstein,shannon-ryan,stephen-schramm,terry-toohey,matt-vautour,matt-velazquez,mitch-vingle,dick-vitale,jon-wilner,steve-wiseman,scott-wolf,mark-berman,craig-handel,graham-couch
61,246,1114,V,san-diego-state,48,500,0.16666666666666666,2,L,,,,,,20.0,21.0,,,,,,,,,,,,,,,25.0,,25.0,,,,,,25.0,,,,23.0,,,22.0,24.0,,,25.0,,,,22.0,,,,,,,,,,,,,,21.0,21.0,,,20.0,,16.0
62,247,1114,H,gonzaga,69,-700,0.875,2,W,13.0,12.0,15.0,15.0,14.0,13.0,14.0,12.0,15.0,13.0,14.0,12.0,14.0,16.0,13.0,15.0,14.0,12.0,11.0,13.0,13.0,24.0,16.0,16.0,14.0,13.0,24.0,15.0,21.0,10.0,14.0,13.0,15.0,13.0,16.0,13.0,16.0,15.0,14.0,18.0,12.0,13.0,9.0,13.0,14.0,19.0,18.0,16.0,12.0,13.0,14.0,14.0,14.0,14.0,15.0,16.0,16.0,20.0,19.0,14.0,15.0,11.0,21.0,14.0,
63,251,1114,H,rhode-island,107,-5500,0.9821428571428571,2,W,22.0,20.0,,19.0,17.0,23.0,23.0,,25.0,21.0,21.0,21.0,23.0,,23.0,24.0,19.0,20.0,23.0,,17.0,14.0,,21.0,22.0,23.0,,23.0,,17.0,21.0,19.0,16.0,24.0,,22.0,,20.0,24.0,,,20.0,24.0,22.0,,21.0,22.0,,19.0,23.0,17.0,21.0,20.0,18.0,23.0,20.0,23.0,22.0,,,22.0,24.0,18.0,18.0,
64,267,1114,H,northwestern,86,-5000,0.9803921568627451,2,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,279,1114,H,cincinnati,74,-2500,0.9615384615384616,2,W,25.0,21.0,,,15.0,21.0,25.0,25.0,20.0,25.0,,,19.0,,24.0,,,,,23.0,25.0,15.0,23.0,,,24.0,,22.0,,,,,20.0,25.0,,,25.0,,,,,,22.0,,,,,,25.0,25.0,,19.0,23.0,22.0,24.0,24.0,,,25.0,,19.0,22.0,19.0,,21.0
66,280,1114,V,vermont,58,170,0.37037037037037035,2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,283,1114,H,marquette,81,NL,0.5,2,W,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,285,1114,H,ohio-state,69,NL,0.5,2,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,
69,287,1114,H,colorado,67,NL,0.5,2,W,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,
70,288,1115,V,dayton,77,100,0.5,2,W,,,,,25.0,,,24.0,,,24.0,25.0,,17.0,,,20.0,,19.0,25.0,,21.0,,,,,23.0,,,,,21.0,19.0,,24.0,,21.0,,,,,,20.0,,,,,,,,22.0,20.0,,24.0,25.0,,,,,20.0,,,14.0,21.0,22.0
