,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mark-berman,john-bohnenkamp,dave-borges,rick-bozich,kevin-brockway,lauren-brownlow,jp-butler,jason-butt,jerry-carino,david-cloninger,david-cobb,mark-cooper,graham-couch,richard-croome,gary-damato,chris-dachille,seth-davis,luke-decock,doug-doughty,john-feinstein,justin-ferguson,marcus-fuller,chris-goff,geoff-grammer,doug-haller,bob-holt,cecil-hurt,justin-jackson,joe-juliano,paul-klee,joey-knight,theo-lawson,andrew-lopez,kevin-lyttle,scott-mansch,dave-matter,matt-mccoy,brian-mcinnis,john-mcnamara,kevin-mcnamara,craig-meyer,sheldon-mickles,antonio-morales,chris-murray,jesse-newell,thuc-nhi-nguyen,jon-nyatawa,zach-osterman,tony-parks,bj-rains,joe-rexrode,scott-richey,jon-rothstein,shannon-ryan,lindsay-schnell,carlos-silva,terry-toohey,matt-vautour,dick-vitale,brant-wilkerson,jon-wilner,norm-wood,scott-wolf,scott-gleeson,ben-steele
51,191,1112,H,arizona,103,-17500,0.9943181818181818,1,W,1.0,2.0,2.0,1.0,3.0,1.0,5.0,1.0,4.0,6.0,5.0,2.0,1.0,4.0,3.0,1.0,1.0,9.0,1.0,3.0,3.0,7.0,1.0,2.0,2.0,2.0,1.0,6.0,3.0,7.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,6.0,7.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,6.0,,
52,195,1113,H,providence,74,-145,0.5918367346938775,1,L,,25.0,22.0,,,,,,,,,25.0,,22.0,21.0,,,,,,25.0,,,,,,,,,,,24.0,25.0,,,,,,,,,,22.0,,,,,,23.0,22.0,,,,23.0,,,,,,,,,,25.0,,,
53,199,1113,H,michigan,72,NL,0.5,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,22.0,,,,,,
54,201,1113,H,south-carolina,78,-625,0.8620689655172413,1,W,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,205,1113,H,oklahoma-state,83,-1506,0.937733499377335,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,207,1113,H,nebraska,86,-1400,0.9333333333333333,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,213,1113,H,wichita-state,81,NL,0.5,1,W,6.0,8.0,6.0,6.0,8.0,5.0,7.0,9.0,7.0,8.0,3.0,8.0,2.0,6.0,5.0,6.0,7.0,4.0,6.0,4.0,4.0,10.0,7.0,8.0,5.0,7.0,6.0,5.0,5.0,8.0,7.0,4.0,6.0,5.0,6.0,5.0,10.0,9.0,10.0,8.0,6.0,10.0,6.0,6.0,5.0,7.0,5.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,8.0,7.0,7.0,5.0,5.0,7.0,8.0,6.0,3.0,6.0,7.0,,
58,218,1113,V,rhode-island,81,125,0.4444444444444444,1,L,22.0,,21.0,,25.0,,,,,,22.0,,,,17.0,,,,18.0,,,,,,,,25.0,,,,,,,,,,,,,24.0,,,20.0,,,25.0,,,,25.0,,,,,25.0,24.0,,,25.0,23.0,,,,,,,
59,219,1113,H,nevada,88,-145,0.5918367346938775,1,W,24.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,
60,229,1113,H,belmont,69,150,0.4,1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
