,index,Date,VH,Team,Final,ML,Probability,Week,Result,elton-alexander,tyson-alger,mike-barber,mark-berman,john-bohnenkamp,dave-borges,zac-boyer,rick-bozich,aaron-brenner,kevin-brockway,jp-butler,jason-butt,christian-caple,nick-carboni,jerry-carino,ray-coleman,graham-couch,richard-croome,chris-dachille,seth-davis,doug-doughty,jay-drew,jeff-faraudo,john-feinstein,marcus-fuller,chris-goff,cormac-gordon,geoff-grammer,tom-green,doug-haller,kelly-hines,bob-holt,cecil-hurt,marcus-jackson,joe-juliano,michelle-kaufman,laura-keeley,kevin-lyttle,fletcher-mackel,scott-mansch,matt-mccoy,chuck-mcgill,john-mcnamara,kevin-mcnamara,chris-murray,dana-oneil,zach-osterman,tod-palmer,soren-petro,bj-rains,ryan-recker,pat-rooney,randy-rosetta,jon-rothstein,shannon-ryan,adam-sparks,bret-strelow,bob-sutton,terry-toohey,matt-vautour,matt-velazquez,dick-vitale,john-werner,jon-wilner,scott-wolf,scott-richey
46,189,1115,H,valparaiso,83.0,-350,0.7777777777777778,1,W,24.0,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,
47,193,1115,H,north-carolina,92.0,-21450,0.9953596287703016,1,W,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,
48,197,1115,H,wisconsin,92.0,-1395,0.9331103678929766,1,W,14.0,16.0,23.0,,20.0,22.0,17.0,21.0,9.0,,17.0,21.0,22.0,20.0,,14.0,22.0,,17.0,,18.0,20.0,,,18.0,21.0,,14.0,17.0,21.0,17.0,21.0,16.0,18.0,18.0,17.0,19.0,19.0,19.0,15.0,12.0,24.0,16.0,17.0,19.0,18.0,22.0,17.0,,16.0,20.0,19.0,12.0,24.0,16.0,14.0,13.0,23.0,17.0,17.0,17.0,,15.0,23.0,23.0,
49,215,1116,H,old-dominion,77.0,-650,0.8666666666666667,2,W,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,219,1116,H,west-virginia,86.0,-835,0.893048128342246,2,W,,,,,,,23.0,,,,,22.0,,,,,,,,,,,,,25.0,21.0,,21.0,25.0,,,,,,22.0,,20.0,,,20.0,16.0,19.0,,,,,,,,21.0,21.0,,,15.0,,24.0,,,,23.0,,,,,,
51,221,1116,H,michigan,88.0,-3000,0.967741935483871,2,W,,,25.0,,25.0,22.0,,,,19.0,,19.0,,,24.0,22.0,17.0,22.0,21.0,24.0,20.0,22.0,24.0,,24.0,,,,24.0,25.0,24.0,17.0,,21.0,24.0,23.0,,,25.0,24.0,25.0,,25.0,20.0,24.0,24.0,,,14.0,,,20.0,19.0,24.0,25.0,,,22.0,21.0,,,24.0,23.0,,,
52,222,1116,V,virginia,68.0,-295,0.7468354430379747,2,L,5.0,7.0,4.0,3.0,4.0,4.0,10.0,6.0,8.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,3.0,7.0,4.0,4.0,6.0,6.0,4.0,5.0,6.0,5.0,5.0,3.0,7.0,5.0,6.0,6.0,4.0,6.0,5.0,5.0,6.0,9.0,4.0,6.0,8.0,2.0,6.0,8.0,5.0,4.0,5.0,4.0,6.0,5.0,5.0,5.0,7.0,5.0,5.0,4.0,2.0,1.0,6.0,8.0,6.0,5.0,6.0,9.0,5.0,
53,231,1116,H,arizona,90.0,-21500,0.9953703703703703,2,W,10.0,11.0,12.0,12.0,11.0,10.0,14.0,13.0,9.0,12.0,12.0,12.0,12.0,13.0,12.0,13.0,10.0,6.0,12.0,13.0,11.0,7.0,8.0,19.0,12.0,15.0,6.0,11.0,12.0,11.0,12.0,8.0,12.0,12.0,13.0,10.0,13.0,13.0,15.0,13.0,7.0,16.0,12.0,11.0,10.0,15.0,14.0,13.0,11.0,12.0,13.0,12.0,8.0,22.0,11.0,12.0,10.0,16.0,13.0,11.0,12.0,16.0,13.0,13.0,12.0,
54,232,1116,V,san-diego-state,76.0,195,0.3389830508474576,2,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,237,1116,H,california,85.0,-1570,0.9401197604790419,2,W,14.0,12.0,15.0,18.0,14.0,12.0,15.0,24.0,15.0,13.0,15.0,14.0,16.0,15.0,14.0,17.0,14.0,16.0,15.0,11.0,13.0,15.0,13.0,15.0,14.0,13.0,11.0,14.0,15.0,14.0,14.0,14.0,14.0,13.0,12.0,15.0,12.0,18.0,13.0,14.0,23.0,13.0,14.0,9.0,11.0,11.0,16.0,14.0,21.0,14.0,15.0,14.0,14.0,11.0,15.0,15.0,13.0,9.0,15.0,14.0,15.0,12.0,14.0,18.0,14.0,
